state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,8/29/20,Concentrate,0,30411.53,30411.53
MA,10/26/20,Infused (non-edible),8413.81,0,8413.81
MA,2/10/19,Infused (edible),84471.14,0,84471.14
MA,12/3/19,Concentrate,0,13590.6,13590.6
MA,11/28/20,Vape Product,581296.14,0,581296.14
MA,5/27/21,Concentrate,0,12341.74,12341.74
MA,6/26/19,Shake/Trim (by strain),0,2490.1,2490.1
MA,2/13/20,Raw Pre-Rolls,0,178385.12,178385.12
MA,1/10/20,Raw Pre-Rolls,0,163067.33,163067.33
MA,2/15/20,Vape Product,434172.08,0,434172.08
MA,2/18/19,Concentrate,0,1374,1374
MA,10/27/19,Infused Pre-Rolls,0,4434.8,4434.8
MA,11/27/18,Concentrate,0,8414.66,8414.66
MA,3/10/20,Vape Product,286945.33,0,286945.33
MA,3/10/21,Infused (non-edible),8401.98,0,8401.98
MA,7/12/20,Buds,0,955787.02,955787.02
MA,5/2/21,Buds,0,1371641.54,1371641.54
MA,6/9/19,Infused (edible),199106.44,0,199106.44
MA,8/23/20,Concentrate,0,19991,19991
MA,9/19/20,Infused Pre-Rolls,0,11147.44,11147.44
MA,8/9/20,Shake/Trim,0,3010.11,3010.11
MA,11/29/20,Shake/Trim,0,358,358
MA,3/8/19,Buds,27097.61,392901.11,419998.72
MA,11/5/19,Infused (non-edible),7578.99,0,7578.99
MA,5/27/20,Shake/Trim,0,260,260
MA,7/6/20,Shake/Trim,0,320,320
MA,5/24/19,Raw Pre-Rolls,0,24255.53,24255.53
MA,10/1/20,Infused Pre-Rolls,0,8489.02,8489.02
MA,8/15/20,Shake/Trim,0,240,240
MA,6/5/19,Infused (edible),169910.42,0,169910.42
MA,1/9/21,Concentrate (Each),232554.83,0,232554.83
MA,10/29/19,Kief,0,1048.3,1048.3
MA,8/14/20,Infused (edible),450423.49,0,450423.49
MA,11/23/18,Buds,6734.74,197724.49,204459.23
MA,4/8/21,Infused (non-edible),10056.31,0,10056.31
MA,4/27/19,Infused (non-edible),37238.67,0,37238.67
MA,4/16/19,Concentrate,2338.99,3814.49,6153.48
MA,7/12/20,Shake/Trim,0,150,150
MA,5/25/21,Kief,0,2584,2584
MA,3/31/21,Concentrate,0,22296.69,22296.69
MA,12/29/18,Infused (edible),41749.28,0,41749.28
MA,12/4/20,Shake/Trim,0,551,551
MA,3/17/20,Infused (edible),297290.65,0,297290.65
MA,3/30/20,Buds,0,2086,2086
MA,12/27/18,Infused (non-edible),24567.4,0,24567.4
MA,10/13/20,Shake/Trim,0,840,840
MA,9/13/19,Buds,0,936895.86,936895.86
MA,4/8/21,Shake/Trim,0,135,135
MA,6/21/19,Concentrate (Each),568237.11,480,568717.11
MA,10/24/20,Infused Pre-Rolls,0,15734.42,15734.42
MA,10/13/19,Shake/Trim,0,617,617
MA,10/17/20,Kief,0,5305.79,5305.79
MA,12/26/20,Infused Pre-Rolls,0,5670,5670
MA,7/26/20,Concentrate (Each),169793.94,0,169793.94
MA,9/9/20,Infused Pre-Rolls,0,9350,9350
MA,7/18/20,Shake/Trim,0,1854.9,1854.9
MA,7/10/19,Shake/Trim (by strain),0,2539.51,2539.51
MA,7/1/20,Shake/Trim (by strain),0,12266.45,12266.45
MA,1/18/21,Vape Product,499194.92,0,499194.92
MA,2/15/21,Infused (non-edible),9887.38,0,9887.38
MA,5/15/21,Infused Pre-Rolls,0,18246.92,18246.92
MA,7/7/19,Infused (non-edible),62244.5,0,62244.5
MA,8/14/20,Buds,0,1501367.71,1501367.71
MA,8/16/19,Shake/Trim (by strain),0,6833.58,6833.58
MA,5/23/21,Buds,0,1391444.81,1391444.81
MA,3/8/20,Shake/Trim (by strain),0,18605.05,18605.05
MA,11/12/19,Shake/Trim (by strain),0,7707.32,7707.32
MA,11/27/20,Buds,0,1669720.01,1669720.01
MA,12/5/18,Concentrate (Each),102678.5,0,102678.5
MA,5/18/21,Infused Beverage,29356.73,0,29356.73
MA,2/7/19,Concentrate,0,2262,2262
MA,9/4/20,Buds,0,1714978.77,1714978.77
MA,5/12/21,Infused (non-edible),10211.55,0,10211.55
MA,3/21/19,Concentrate (Each),259877.24,0,259877.24
MA,7/18/20,Kief,0,4013.04,4013.04
MA,12/22/18,Shake/Trim (by strain),0,8900.94,8900.94
MA,12/22/19,Vape Product,49722.48,0,49722.48
MA,5/31/21,Vape Product,550408.87,0,550408.87
MA,5/14/21,Infused Pre-Rolls,0,19451.75,19451.75
MA,7/11/19,Shake/Trim (by strain),0,3712.7,3712.7
MA,4/4/21,Concentrate (Bulk),0,630,630
MA,8/10/20,Shake/Trim (by strain),0,4980,4980
MA,4/24/19,Infused (non-edible),25005.19,0,25005.19
MA,3/8/20,Infused (non-edible),14499.49,0,14499.49
MA,2/1/19,Concentrate (Each),221920.02,0,221920.02
MA,1/17/19,Concentrate,9050.11,4592,13642.11
MA,3/8/20,Buds,0,862405.34,862405.34
MA,3/15/21,Vape Product,511329.8,0,511329.8
MA,12/15/20,Shake/Trim,0,1216,1216
MA,3/30/19,Concentrate,0,3750.28,3750.28
MA,5/25/20,Infused (non-edible),9602.12,0,9602.12
MA,6/29/19,Infused (non-edible),99863.93,0,99863.93
MA,1/9/21,Shake/Trim (by strain),0,11561.6,11561.6
MA,11/19/20,Vape Product,469379.83,0,469379.83
MA,2/18/20,Buds,0,683748.6,683748.6
MA,8/2/20,Shake/Trim (by strain),0,9290,9290
MA,3/23/21,Shake/Trim (by strain),0,25274.68,25274.68
MA,12/23/19,Vape Product,91256.17,0,91256.17
MA,3/18/21,Infused Pre-Rolls,0,11585.58,11585.58
MA,2/1/20,Infused (edible),479187.43,0,479187.43
MA,12/1/18,Infused (non-edible),2834.4,0,2834.4
MA,1/7/20,Infused (non-edible),14293.12,0,14293.12
MA,5/24/21,Kief,0,3832.99,3832.99
MA,9/11/20,Infused Pre-Rolls,0,13897.84,13897.84
MA,5/31/21,Buds,0,1212892.42,1212892.42
MA,7/16/20,Buds,0,1155912.26,1155912.26
